State,ST,County,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Child.Poverty.living.in.families.below.the.poverty.line,White,Black,Hispanic,Asian,Amerindian,Other,Median Age,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
North Carolina,NC,"Graham County, North Carolina",79.62872496,18.58817782,,1.783097215,20.6,79.4,13,4.2,74.05,21618.67715,42.15,19.1,8412,46.6,20.4,26.65,89.4,0.25,2,0.15,6.85,1.35,42.1,3.1,3.7,0.08,64.4,0.153,0.224,0.295,0.122,125,,0.227,0.168,,,103.5,
South Dakota,SD,"Lincoln County, South Dakota",61.42840157,32.00824383,,5.600253656,4.4,95.6,36.9,11,77.5,32886.26095,5.75,8.05,41217,47.8,4.05,4.7,95.5,0.5,1.3,0.95,0.35,1.4,32.8,1.9,1.8,0.06,17.2,0.19,0.106,0.277,0.064,153.9,,0.084,0.035,176.69,,42.7,6.9
Louisiana,LA,"West Carroll Parish, Louisiana",83.42088674,15.02416474,0.210128178,0.567346081,29.3,70.7,9.8,3.3,66.4,22039.41175,33.85,18,11562,43.7,22.5,31.8,79.45,15.8,3.55,0.2,0.2,0.8,38.2,3.7,3.4,0.1,53.7,0.371,0.295,0.372,0.16,596.4,210.1,0.236,0.124,822.9,,75.3,
Texas,TX,"Gregg County, Texas",69.36540554,28.09863411,0.362625408,2.173334945,17.6,82.4,20.3,5.9,72.65,25377.30318,29.35,10.9,119315,46.2,16.25,23.5,62.55,19.8,14.7,1.05,0.35,1.55,35.4,3.9,2.8,0.1,73.6,0.38,0.171,0.324,0.112,813.3,329,0.241,0.057,585.09,8.82,75.1,6.8
Wisconsin,WI,"Portage County, Wisconsin",45.40566062,48.59008997,1.529260551,3.908401752,9.6,90.4,27.1,8.6,82.2,22620.83969,12.35,8.8,69226,49.9,12.75,10.8,93.15,0.45,2.25,2.75,0.3,1,35.6,2.7,2.4,0.06,15.9,0.209,0.153,0.288,0.076,236.9,33.3,0.096,0.066,106.11,,51.6,4.1
Ohio,OH,"Fulton County, Ohio",64.84801624,28.90349394,0.782873435,4.798724206,11.7,88.3,14.9,4.7,79.9,27532.95143,18.75,5.35,42590,36.3,10,13.65,90.75,0.35,7.3,0.4,0.25,0.95,38.9,2.5,4.7,0.06,29.4,0.235,0.255,0.303,0.12,221.1,58.1,0.127,0.078,81.2,,66.9,6.5
Alabama,AL,"Dale County, Alabama",74.11505613,23.6772842,0.333028952,1.874630714,17.8,82.2,17.5,5.6,67.75,25547.52032,16.9,10.85,49242,37,14.5,19.05,71.45,19.55,4.85,1.2,0.55,2.4,35.8,4.9,3.9,0.09,50.5,0.316,0.212,0.353,0.139,577.5,317.3,0.156,0.073,417.94,5.77,68,6.9
Minnesota,MN,"Brown County, Minnesota",63.73417258,27.54153553,0.995389007,3.681475518,11.6,88.4,18.5,5.3,82.65,24690.28254,21.5,9.4,25887,41,9.4,14.3,95.3,0.15,3.25,0.65,0.05,0.6,42.7,2.5,2,0.06,21.2,0.245,0.228,0.287,0.085,174.9,36.6,0.087,0.055,50.01,,56.9,
Missouri,MO,"Washington County, Missouri",75.9456838,20.75654704,0.646621403,2.123073607,29.7,70.3,7.7,3.2,68.75,23878.17175,43.15,16.6,24712,24.7,20.7,29.2,94.55,2.25,1.05,0.15,0.55,1.45,39.5,4.5,5,0.1,64.3,0.332,0.34,0.326,0.103,155.5,108.5,0.179,0.105,175.63,5.77,103.3,8.4
Texas,TX,"Bowie County, Texas",72.27444154,25.61937917,0.417754569,1.688424717,16.5,83.5,18.1,6.9,75.1,25258.55016,25.3,12.75,92203,53.4,17.25,24.35,66.7,23.55,6.1,0.7,0.6,2.3,37.4,4.7,4.6,0.1,67,0.391,0.17,0.315,0.11,384.7,229.7,0.222,0.068,728.02,9.92,74.2,7.4
Texas,TX,"Ellis County, Texas",71.0500444,25.6834327,0.510592414,2.755930483,17.1,82.9,21,6,77.2,30456.88603,20.75,7.8,145979,40.4,11.3,16.8,65.7,9.05,23,0.55,0.4,1.25,34.6,3.8,2.9,0.08,46.6,0.281,0.134,0.291,0.098,364.6,108,0.226,0.068,216.98,4.11,48.7,6.5
Wisconsin,WI,"Fond du Lac County, Wisconsin",60.75860179,34.03726465,0.878772459,3.738208009,11.5,88.5,18,5.8,76.8,28236.54032,13.85,7.6,100484,41.3,8.95,11.1,92.55,1.1,3.85,0.95,0.4,1.2,39.8,2.9,2.8,0.07,24.7,0.248,0.184,0.31,0.087,283.1,34.4,0.095,0.066,172.74,,64,5.5
Indiana,IN,"Greene County, Indiana",74.65668822,21.2816973,,4.061614474,16.8,83.2,11.1,4.6,77.55,25870.39588,32.1,8.7,32940,43.3,15.25,22.9,97.35,0.05,1.05,0.2,0.25,1,41.2,3.7,3.4,0.08,46.4,0.291,0.242,0.331,0.133,267.5,41.5,0.172,0.093,33.53,,78.6,7.9
Virginia,VA,"Alleghany County, Virginia",66.69860389,29.63317821,0.479058308,2.244730359,18.2,81.8,14.9,5.2,78.35,28712.18191,21.45,7.25,16323,26.2,11.25,13.9,92.35,5.45,0.65,0.35,0.1,1.1,44.7,2.8,4.1,0.09,47,0.258,0.246,0.26,0.103,111.3,81.2,0.141,0.074,118.73,,80.4,
Maryland,MD,"Prince George's County, Maryland",8.342566457,89.32926221,1.199404143,1.128767186,14.2,85.8,29.6,12.1,77.55,38176.4927,9.15,6.85,849203,49.7,7.65,9.3,16.5,63.4,13.65,3.95,0.2,2.25,34.6,2.9,3,0.1,35.3,0.437,0.139,0.339,0.111,698.6,830.1,0.161,0.068,702.44,15.63,51.7,10.8
Texas,TX,"Real County, Texas",82.35995232,15.61382598,0.357568534,1.668653159,22.4,77.6,19.4,4.6,75,15977.61619,37.1,14.5,3137,32.8,23.6,36.25,75.4,0.3,22.8,0.2,0.35,1,49.1,,,,52.2,0.473,,0.289,0.13,408.6,,0.348,0.072,62.85,,,
Wisconsin,WI,"Chippewa County, Wisconsin",56.91589082,37.73315116,0.838867529,3.835276922,11.6,88.4,17.5,4.5,74,27342.30889,17.9,8.4,61143,36.3,10,14.2,95.65,1,1.1,1.1,0.45,0.7,39.8,2.3,2.7,0.06,26.2,0.264,0.235,0.297,0.089,299.5,22.5,0.096,0.065,108.53,,69.3,7.1
Louisiana,LA,"Acadia Parish, Louisiana",77.26210473,20.58716132,0.387059081,1.026071715,30.5,69.5,10.9,2.7,73.45,24012.02953,35.4,19.6,60694,38.1,20.75,28,78.7,18.25,1.45,0.25,0.2,1.15,35.4,3.8,3.4,0.11,64.5,0.4,0.236,0.322,0.099,543.7,173.7,0.203,0.056,473.87,5.18,94.2,10.1
Missouri,MO,"Shelby County, Missouri",77.61377614,18.63468635,0.49200492,2.82902829,11.4,88.6,13.4,4.8,74.95,21471.59143,19.45,13.5,6415,49.2,13.35,17.1,97.05,0.35,1.3,0.1,0.15,1,42.6,3.1,2,0.08,22.1,0.248,0.114,0.317,0.117,79.6,,0.184,0.061,99.27,,71.4,
Louisiana,LA,"Avoyelles Parish, Louisiana",67.32404559,30.34798866,0.416138954,1.133827875,31.9,68.1,10.2,3.4,71.65,21964.28476,37.9,20.9,42128,62.1,24,34.55,66.25,29.7,1.3,0.25,1,1.5,38.3,5.2,3.6,0.11,74.6,0.412,0.265,0.39,0.139,398.6,354.7,0.216,0.072,527,4.79,70.5,9.2
Kansas,KS,"Allen County, Kansas",67.27512232,26.30786601,2.220549492,4.196462175,10.7,89.3,17.7,6.2,78.9,24388.90127,26.55,9.9,13387,61.4,12.9,18.6,92.3,1.75,2.7,0.4,0.5,2.35,40.2,4,2.9,0.07,48,0.347,0.19,0.34,0.119,210,44.3,0.143,0.064,321.6,,89,
Alabama,AL,"Morgan County, Alabama",74.79746354,22.43603849,0.436078494,2.330419476,19.2,80.8,19.1,6,74.2,25015.04635,26.7,12.1,117343,41.2,15.2,22.75,78.7,11.6,6.75,0.65,0.8,1.6,38.5,4.5,4,0.09,51,0.321,0.239,0.285,0.119,520.2,112.7,0.185,0.07,224.36,4.29,76.4,7.5
Pennsylvania,PA,"Erie County, Pennsylvania",48.76151484,46.7587854,0.941658137,3.146537018,11,89,23.3,8.7,79.15,24590.62095,26.65,8.75,280143,47.1,15.35,21.9,87.55,6.5,3.1,0.95,0.15,1.75,38.4,3.7,4.1,0.09,34.6,0.375,0.252,0.283,0.103,481.9,122.6,0.125,0.078,256.25,2.46,54.1,8.4
New York,NY,"Erie County, New York",45.35366134,50.11506909,1.519642633,3.011626936,11.6,88.4,29.1,12.7,81.3,29502.8473,23.3,8.25,916620,57.8,13.95,20.4,78.7,13,4.15,2.3,0.55,1.35,40,3.9,3.3,0.08,26.1,0.368,0.162,0.289,0.101,551.7,251.5,0.097,0.083,496.24,6.58,46.7,8.2
Kentucky,KY,"Whitley County, Kentucky",82.15556685,15.01198344,0.297770354,1.757571356,29.8,70.2,11.9,5.9,76.8,18922.5854,34.6,20.45,36947,44.6,28.95,38.35,96.85,0.6,0.9,0.35,0.2,1.2,37.3,6.2,5.8,0.1,65.1,0.34,0.285,0.358,0.144,223.3,45,0.175,0.095,97.54,7.13,105.5,11.3
Kentucky,KY,"Woodford County, Kentucky",56.76253687,36.56342183,0.862831858,3.901179941,11.6,88.4,33.1,12.8,75.85,32500.0054,28.2,4.4,24710,49.2,11,17.85,86.75,5.05,6.2,0.45,0.1,1.4,40.8,3.2,2.9,0.09,27.3,0.282,0.14,0.316,0.107,184.4,89.7,0.163,0.058,121.72,,95.5,
Louisiana,LA,"Calcasieu Parish, Louisiana",64.67716329,31.38600742,0.657729817,2.131951822,18.4,81.6,19.2,5.8,75.8,25938.7308,27.3,11.35,188892,55.7,16.35,22.8,70.35,24.3,2.35,0.9,0.3,1.75,35.9,4,3.4,0.11,52.4,0.374,0.219,0.346,0.125,604.4,325.4,0.194,0.059,655.34,8.81,90.5,9
Michigan,MI,"Monroe County, Michigan",58.3730314,36.24647441,0.954103183,4.028285718,12.3,87.7,17,5.9,77.65,31346.34572,15,6.15,152460,37.2,8.85,11.95,92.7,2.1,2.9,0.6,0.3,1.55,39.2,3.6,3.9,0.07,27.3,0.276,0.199,0.334,0.109,232.9,47.2,0.101,0.08,247.2,1.87,55.4,6.4
Missouri,MO,"Newton County, Missouri",77.51452501,18.81838074,0.633818758,2.41832038,15.1,84.9,18.3,6.9,73.65,23493.56286,24.7,7.5,56904,34.6,15.85,24.5,88.75,0.65,3.95,1.15,2.1,3.4,38.4,3.6,3.6,0.07,51.2,0.266,0.176,0.322,0.123,258.5,69.2,0.195,0.062,233.59,3.51,83.7,7.4
Mississippi,MS,"Attala County, Mississippi",59.21016294,39.31234466,0.193316763,0.690417012,28.1,71.9,17.1,6.2,80.5,22364.2454,39.65,21.1,19561,48.4,24.25,34.15,55.8,41.65,1.8,0.2,0.1,0.4,39.1,5.2,4.3,0.13,73.4,0.46,0.2,0.379,0.148,775.7,249.7,0.211,0.111,,16.14,96.2,10.7
Alabama,AL,"Coffee County, Alabama",77.14619997,20.4455711,0.497245649,1.910983279,20.7,79.3,22.1,8.5,71.15,26346.66,26.6,13.4,48375,30.8,16.65,25.7,73.3,17.25,5.25,1.15,0.95,2.1,37.9,3.5,3.6,0.09,48.8,0.363,0.177,0.299,0.126,572,140.3,0.173,0.062,343.89,3.31,67.9,9.3
Florida,FL,"Miami-Dade County, Florida",34.09382121,63.65843441,0.609500649,1.347032197,23,77,26.2,9.5,78.1,25617.2381,23.45,22,2476739,57.3,17.05,21.8,16.75,17.6,63.2,1.45,0.1,0.95,37.7,3.2,3.3,0.09,32.4,0.395,0.118,0.218,0.088,345.5,1207.9,0.344,0.093,753.62,9.23,50,5.7
Texas,TX,"Crane County, Texas",75.81462708,21.65097755,0.506879073,2.027516293,27.8,72.2,13.1,3.3,73.85,25140.5508,30.95,19.85,4140,39.7,20.15,29.6,44.7,2.8,50.55,0.15,0.6,1.3,38.2,,,0.13,54.8,0.203,,0.296,0.098,228.2,,0.254,0.053,116.54,,,
Texas,TX,"Travis County, Texas",27.40475362,66.26328887,1.604286168,4.727671342,13.7,86.3,43.5,15.9,75,30669.88762,24.1,8.2,995513,46.6,15.7,21,51.35,8.15,32.95,5.45,0.25,1.9,31.6,2.9,3.2,0.08,47.4,0.332,0.144,0.237,0.065,593.4,437.9,0.224,0.057,413.2,3.37,50.5,5.6
Mississippi,MS,"Tate County, Mississippi",64.84326982,33.40064975,0.175608043,0.965844236,20.3,79.7,14.1,5,76.65,23051.13905,34.7,12.05,27887,34.8,17.55,27.5,66.3,30.25,1.8,0.3,0.1,1.25,36,4.2,4.9,0.1,47.8,0.461,0.238,0.35,0.148,738.2,100,0.205,0.097,79.28,5.66,102.2,9.8
North Dakota,ND,"Hettinger County, North Dakota",81.83980967,13.32275971,0.396510706,3.647898493,13.7,86.3,19.7,4.8,71.55,24519.16318,21.75,13.95,2442,35.3,11.2,10.25,97.3,0.45,0.25,0,1.05,1,49,1.9,1.6,,,0.195,0.083,0.262,0.096,238.6,,0.132,0.032,27.17,,,
Kentucky,KY,"Lyon County, Kentucky",70.41151224,26.38222671,0.378692249,1.868215097,18.8,81.2,10.8,3.3,65.6,17289.73969,31.95,9.75,8319,36.7,14.85,29.75,91.45,6.25,0.8,0.35,0.2,0.95,46,3.1,,0.08,40,0.268,0.15,0.313,0.129,276.5,92,0.172,0.087,36.06,,71.7,
Texas,TX,"Bee County, Texas",56.07708678,40.70702294,0.401986285,2.813903996,30.5,69.5,9.2,3.8,65.7,19006.54191,26.15,17.3,32137,36.8,19.6,24.35,33.5,8.85,55.9,0.55,0.4,0.75,35.7,,,0.09,75.7,0.413,,0.3,0.095,676.1,775.1,0.226,0.07,271.79,,56.4,
Texas,TX,"Washington County, Texas",74.21170408,22.92669696,0.474672815,2.386926154,20.8,79.2,25.8,8.2,78.9,24511.14381,24.6,10.05,32935,33.4,16.5,22.5,67.35,17.6,12.85,1.35,0.2,0.75,40.8,1.6,1.6,0.08,41.3,0.407,,0.286,0.107,426.1,92.9,0.234,0.051,309.04,,71.7,
Wisconsin,WI,"Green County, Wisconsin",46.26150817,48.5391943,1.043052525,3.656005535,9.9,90.1,18.8,5.7,76.7,30855.37461,16.15,8.8,36236,36.6,8.9,13.25,95.85,0.55,2.2,0.4,0.2,0.75,40.9,2.3,2.2,0.07,26.8,0.208,0.124,0.283,0.079,173.5,22.9,0.096,0.064,117.07,,68.6,
South Dakota,SD,"Butte County, South Dakota",77.19742292,15.94569719,,5.660377358,12.5,87.5,19.2,3.9,80.65,21354.99302,29.95,9.8,9764,48.3,17.05,26.2,92.75,0.35,3.35,0.2,1.65,1.7,41.1,2.9,2.6,0.05,35.7,0.179,0.222,0.303,0.083,214.4,,0.175,0.046,103.29,,66.8,
Iowa,IA,"Tama County, Iowa",57.5266327,36.98471515,0.914775359,2.825382121,11.9,88.1,16.5,4.4,78.9,27001.76159,16,7.85,17713,47.9,10.25,14.8,85.05,0.35,6.45,0.4,6.1,1.65,41.7,2.5,2.6,0.09,37.8,0.372,0.179,0.289,0.108,389.9,,0.138,0.066,202.49,,76.8,
California,CA,"Orange County, California",43.28010944,50.96015442,1.473836113,3.889696699,16.7,83.3,36,12.4,80.5,35097.60857,14.1,7.05,2993531,50.5,9.85,13.25,45.4,1.55,33.45,16.85,0.25,2.6,35.7,3.1,3.2,0.07,26.5,0.256,0.109,0.204,0.074,262.1,258.9,0.193,0.076,229.73,2.74,36.7,4.7
Florida,FL,"Bay County, Florida",71.15236773,24.88669092,0.643710342,3.032667439,13.7,86.3,20.4,7.5,70,26810.81873,17.65,7.9,166151,44.3,12.45,18.15,79.7,10.9,4.2,2.05,0.55,2.6,38.7,5.6,5.6,0.09,54.6,0.343,0.245,0.285,0.103,385,265.8,0.21,0.083,549.44,5.89,81.3,8.8
Michigan,MI,"Hillsdale County, Michigan",70.89537223,24.13983903,0.92555332,3.521126761,13.4,86.6,14.2,6.1,77.75,23810.23238,31.15,7.2,46494,38,15.45,23.95,96.05,0.55,1.6,0.45,0.3,1.1,39.7,3.3,3.6,0.06,31.4,0.271,0.239,0.303,0.122,150.5,20.1,0.144,0.095,196.68,,59.9,6.9
Louisiana,LA,"Morehouse Parish, Louisiana",54.85993925,43.49476882,0.388120148,0.615929801,26.8,73.2,11.1,2.9,69.5,22185.39143,39.1,21.9,28370,39.3,27.8,41.65,52.5,45.8,0.6,0.25,0.1,0.75,37.7,5.2,4,0.12,73.8,0.538,0.219,0.39,0.149,1083,278.1,0.223,0.116,564.05,11.43,79.6,12.5
Mississippi,MS,"Tunica County, Mississippi",24.25642507,74.4152469,0.231013572,0.519780537,27.6,72.4,14.6,3.7,74.95,20528.4381,54.55,19.9,10592,78.1,28.25,41.45,23.8,71.9,2.75,0.6,0.35,0.6,31.2,3.7,3.4,0.15,122,0.657,0.27,0.407,0.15,1797.1,709.2,0.179,0.151,701.99,18.72,92.4,15.6
New York,NY,"Bronx County, New York",9.592678978,88.72698596,1.103503624,0.57683144,31.2,68.8,17.6,6.5,77.05,25785.72254,39.9,21.9,1383318,54,28.15,39.85,11.85,30.35,52.35,3.35,0.2,1.85,32.6,4.1,4,0.1,43.7,0.639,0.184,0.284,0.103,1295.8,2084,0.165,0.127,590.6,10.19,39.8,6.7
Texas,TX,"Gaines County, Texas",84.76893035,12.9529182,0.433933608,1.844217835,41.8,58.2,12.9,2,62.5,27032.64603,16.8,11.6,16183,30.4,17.05,21.55,58.9,1.45,37.85,0.3,0.2,1.3,29.2,2.6,,0.07,70.4,0.174,,0.318,0.097,194.4,,0.342,0.046,84.99,,68.5,
Texas,TX,"Kimble County, Texas",87.24935733,10.59125964,0.257069409,1.902313625,23.5,76.5,20.3,9.7,74,20831.0108,58.8,5.5,4546,0,14.35,28.9,72.75,0.25,25.4,0.9,0.2,0.45,50.4,,,0.1,55.9,0.303,,0.277,0.118,151.1,,0.33,0.055,312.91,,91.9,
Virginia,VA,"King George County, Virginia",61.31862622,33.4419654,0.693573995,3.066766942,9.8,90.2,30.5,10.3,70.25,39105.16064,11.8,5.35,22935,38.5,6.75,9.5,74.85,17.4,3.25,1.05,0.45,2.9,36,1.7,,0.08,31.3,0.224,,0.289,0.109,401.5,150.1,0.1,0.07,102.04,,50.9,9.4
Wyoming,WY,"Platte County, Wyoming",77.06278027,16.12107623,0.807174888,4.035874439,11,89,17.3,6.6,83.85,23936.08254,29.3,5.15,8505,60.5,10.65,18.75,91.5,0.15,6.5,0.2,0.45,1.2,46.4,2.8,2.5,0.08,33.7,0.444,0.182,0.257,0.105,284.2,,0.177,0.057,120.36,,115.6,
Virginia,VA,"Pulaski County, Virginia",68.25039704,27.59396506,0.708046585,2.316040233,20.9,79.1,13.9,4.2,74.8,25728.25937,26.8,12.2,34891,37.5,15.05,20.45,91.25,5.6,1.2,0.5,0.15,1.25,43.1,5.1,4.7,0.09,49.2,0.331,0.308,0.274,0.112,277.4,93.6,0.157,0.065,210.91,,94.9,10.8
New Mexico,NM,"Lincoln County, New Mexico",66.22807018,26.19208277,0.663517769,6.286549708,13.5,86.5,23.9,9.7,76.85,22614.20381,38.9,7.7,20692,56.4,13.35,21.5,66.35,0.4,29.55,0.25,1.25,2.3,48.4,2.6,3,0.1,61.2,0.417,0.221,0.229,0.081,205.3,77.1,0.27,0.055,377.78,8.38,90.7,
Minnesota,MN,"Kittson County, Minnesota",57.08844689,34.8286077,0.634786289,5.120609395,11.4,88.6,19.1,2.7,75.55,26891.46476,4.2,10.85,4537,60.7,6.05,3.15,97.05,0.25,1.6,0.15,0.35,0.5,47.6,,,,11.7,0.233,,0.316,0.1,,,0.101,0.053,29.56,,,
Montana,MT,"Blaine County, Montana",47.59924386,44.87712665,2.759924386,3.856332703,14.6,85.4,17.2,3.3,75.8,21984.69778,55.7,11.25,6503,50.5,28.3,42,48,0.05,1.6,0.05,48.7,1.6,35.3,3.6,3.2,0.08,80.5,0.452,0.303,0.335,0.116,761.6,,0.31,0.056,170.92,,102,
North Dakota,ND,"Barnes County, North Dakota",60.07995431,30.40167523,0.894726823,7.728916809,11.5,88.5,25.8,8.2,79.55,26754.78318,20.8,12.75,10953,50.6,11.4,12.35,96.1,0.6,0.95,0.8,0.75,0.85,44.5,2,2.2,0.05,21.6,0.269,0.164,0.27,0.064,189.9,,0.115,0.034,42.46,,74.2,
Alabama,AL,"Randolph County, Alabama",75.982231,22.60612043,0.187561698,1.224086871,28.4,71.6,12.2,4.8,74.2,21767.3581,34.5,13.15,22708,49.5,20.7,26.75,75.3,20.9,2.3,0.1,0.3,1.2,40,4,4.8,0.1,52.2,0.439,0.281,0.342,0.148,355.5,68.7,0.187,0.089,303.21,9.42,100.8,
Kansas,KS,"Ness County, Kansas",84.73867596,11.14982578,1.393728223,2.717770035,9.2,90.8,18.9,6.2,79.55,25773.40254,3.8,6.85,3028,35.9,8.5,11.45,92.1,0.25,6.3,0.05,0.2,1.15,47.9,3.7,2.7,,34,0.271,0.245,0.287,0.118,,,0.162,0.028,186.16,,147.4,
Ohio,OH,"Henry County, Ohio",66.82759125,26.99144174,0.789993417,4.666812962,12.4,87.6,13.1,4.1,77.25,26553.81397,14.9,5.5,28595,48.1,9.7,11.95,91.35,0.6,6.65,0.55,0.2,0.8,38.8,4.2,,0.06,32.2,0.258,0.204,0.33,0.11,196,24.9,0.136,0.078,88.63,,60.9,
Utah,UT,"Utah County, Utah",51.30557556,14.04979936,0.484160465,3.087308937,6.7,93.3,35.5,10.9,77.55,20084.41048,11.2,5.2,510777,40.5,12.95,9.85,85.15,0.5,10,1.35,0.5,2.6,24.3,3.5,3.1,0.06,18.5,0.114,0.054,0.235,0.057,149.3,32.8,0.16,0.055,79.87,0.92,45.4,4.6
Kentucky,KY,"Allen County, Kentucky",79.915956,16.67284637,0.568532938,1.989865282,26.4,73.6,10.6,4.4,71.65,22272.71842,35.85,11.7,19377,21.4,19.05,25.55,96.3,0.8,1.35,0.4,0.25,1,37.8,4.8,6,0.09,50.9,0.315,0.31,0.338,0.109,218.5,70.7,0.195,0.087,77.55,,77.2,
Louisiana,LA,"Webster Parish, Louisiana",63.60529217,34.50385888,0.347298787,0.915104741,24.5,75.5,13.5,4.1,71.45,23338.17619,37.2,14.15,40963,44.1,21.25,30.7,63.65,33.2,1.5,0.3,0.35,1,39.8,4,2.9,0.13,62.4,0.484,0.257,0.339,0.132,864.7,118.1,0.204,0.072,267.09,7.62,72.8,12.5
Michigan,MI,"Oakland County, Michigan",43.59213274,51.7110312,0.964485756,3.489306526,7.8,92.2,42.2,17.6,83.3,37899.85873,12.75,7.35,1202825,58.3,8.45,11.05,76.5,12.6,3.3,5.5,0.2,1.85,39.5,3.1,3.4,0.08,17.6,0.253,0.148,0.269,0.091,304.9,159,0.114,0.091,246.38,3.85,43.1,6.5
Ohio,OH,"Monroe County, Ohio",71.50762788,24.63356267,0.538438528,2.408016751,14.5,85.5,9.2,3.1,78.1,21759.29334,27.85,13.6,14459,41.8,17.45,25.95,97.95,0.25,0.35,0.05,0.05,1.25,44.4,,,0.1,29.7,0.276,,0.32,0.113,130.3,,0.145,0.096,71.33,,82.6,
Oklahoma,OK,"Pawnee County, Oklahoma",74.31452884,21.13142137,,4.554049795,13.7,86.3,16.1,5.1,74.65,23278.67238,37.55,12.05,16508,30.6,18.45,30.15,80.1,0.95,1.95,0.2,10.6,6.25,42,5.2,4.6,0.08,52.7,0.335,0.248,0.364,0.15,251,55.3,0.227,0.064,205.26,,130.4,
Tennessee,TN,"Bledsoe County, Tennessee",77.87096774,19.2688172,0.387096774,2.043010753,28.5,71.5,8.8,3.9,79.1,21106.01016,53.2,17.4,12908,65.7,23,36,92.9,3.85,1.75,0.15,0.25,1.1,41.2,8.4,4.4,0.07,48.8,0.261,0.386,0.318,0.131,248.7,71.7,0.212,0.099,107.32,,83.4,
Arkansas,AR,"Union County, Arkansas",62.07630986,34.48548652,0.419886813,1.600438143,18.7,81.3,16.1,4.8,74.5,24566.7381,34.85,11.75,42398,59.4,21,30.5,62.4,32.9,2.75,0.7,0.25,1,39.8,4.9,4.2,0.1,71.1,0.415,0.263,0.309,0.119,801.4,384.5,0.186,0.086,595.33,14.44,92.9,6.7
Iowa,IA,"Des Moines County, Iowa",50.65462513,43.70223909,0.705391973,3.382675146,10.3,89.7,17.6,5.3,75.1,24628.30381,23.25,6.3,40512,38,13.35,19.55,90.25,4.3,2.5,0.85,0.25,1.9,41.5,3.6,3,0.08,48.2,0.332,0.208,0.323,0.118,550.2,64.7,0.097,0.064,474.22,3.54,74,6.3
Kentucky,KY,"Ohio County, Kentucky",76.38007309,20.00384689,0.615502981,1.990767455,26.2,73.8,9.4,3.8,71.6,22849.21016,38.6,15.3,23670,33.3,18.6,29.45,95.3,0.8,2.65,0.15,0.2,0.9,38.7,5.3,5.1,0.09,64.1,0.365,0.265,0.347,0.138,199.1,35.5,0.171,0.067,82.2,,83.9,
Kentucky,KY,"Owsley County, Kentucky",83.79761228,14.55372371,0,1.364411598,42.3,57.7,5.9,2.9,74.2,15437.70699,42.65,42.7,4701,72.3,41.35,45.7,98.9,0.15,0.5,0,0.15,0.3,40.3,8.5,4.9,0.12,66.7,0.264,0.405,0.355,0.137,124.5,,0.192,0.109,,,105.5,
Indiana,IN,"Sullivan County, Indiana",71.71398528,24.68746349,,3.598551233,13.9,86.1,14.1,4.7,71.2,24458.35016,22.75,12.55,21395,36.6,12.6,14.5,93.85,3.95,1.2,0.15,0.15,0.65,39.1,4.8,4,0.08,49.8,0.231,0.25,0.315,0.109,220.1,69.7,0.16,0.111,75.19,,88.3,
Georgia,GA,"Berrien County, Georgia",82.40134085,15.86164864,,1.737010513,31.1,68.9,10.8,3.6,72.85,22510.98222,23.2,20.3,18050,57,22.65,29.55,83.2,11.15,3.9,0.2,0.4,1.15,37.3,5.8,3.8,0.1,79.3,0.32,0.296,0.301,0.118,304.6,271.5,0.256,0.102,282.36,,77,10.6
Alaska,AK,"Nome Census Area, Alaska",,,,,16.2,83.8,14.9,4.2,69.65,22686.55461,35.35,16.35,9415,51.6,23.9,29.8,16.7,1.2,1.45,0.6,73.35,6.65,27.7,3.7,2.4,0.07,96.7,0.469,0.401,0.356,0.078,2130.7,,0.289,0.116,,,174.1,12.8
Alabama,AL,"Elmore County, Alabama",74.83809782,22.85869123,0.303481913,1.999729034,16.2,83.8,20.2,6.9,72.9,28575.60286,18.3,10.2,78008,45.8,12.75,17.4,74.85,20.65,2.25,0.55,0.35,1.35,37.3,4.4,4.4,0.09,42.3,0.302,0.214,0.306,0.123,499,224.1,0.14,0.068,142.74,6.2,78.1,7.4
North Carolina,NC,"Montgomery County, North Carolina",61.75211809,35.88086296,,2.367018954,27.9,72.1,14.8,4.4,70.85,22106.31365,40.4,16.9,27627,24,23.45,34.8,63.35,19,14.65,1.75,0.35,0.95,39.5,3.7,2.1,0.08,70.7,0.342,,0.313,0.127,368.7,181.2,0.237,0.113,214.63,7.28,83.3,8.8
Oregon,OR,"Union County, Oregon",67.21219414,25.84035299,1.588447653,5.359005215,11.5,88.5,20.3,6.6,77.35,22677.38921,28.55,10.5,25284,53,15.6,21.55,91,0.35,3.6,0.95,0.8,3.25,40.1,3.3,3.1,0.07,28.6,0.281,0.145,0.28,0.099,329.6,36.8,0.166,0.092,142.63,,76.5,
